,2mTemp,2mDpt,sfcCAPE,sfcCIN,sfcPotentialTmp,sfcPressure,PWAT,2mRH,srh,lifted index 180-0 mb above gnd Best (4-layer),10m wind speed,250mb Geopotenial height,250mb Temperature,250mb wind speed,500mb Geopotenial height,500mb Temperature,500mb wind speed,700mb Geopotenial height,700mb Temperature,700mb wind speed,850mb Geopotenial height,850mb Temperature,850mb wind speed,925mb Geopotenial height,925mb Temperature,925mb wind speed,COUNT,countBinary
1989-05-22,301.031,283.339,1246.17,-30.6908,309.053,93290.7,21.2569,42.2853,97.8121,-2.2277400000000003,4.10668,10734.8,225.144,29.4748,5801.54,261.80400000000003,16.9408,3125.67,281.251,8.86795,1486.65,293.34,6.25821,749.525,298.678,5.43078,3,0
1984-11-28,278.485,271.265,0.218752,-0.65569,282.616,93174.8,8.17039,63.0367,136.621,11.7713,3.99515,10485.9,224.904,34.4206,5622.83,257.7,21.5482,3000.21,273.308,13.6304,1426.65,278.086,8.79583,735.809,280.401,7.174010000000001,0,0
2009-05-09,294.218,279.445,415.4980000000001,-40.1538,302.093,93765.1,18.0753,46.4495,83.3448,2.01468,4.72973,10634.2,225.08900000000003,30.023000000000003,5751.9,258.122,16.3637,3114.32,276.555,8.76175,1510.5,286.117,5.84145,792.8560000000001,291.329,5.48069,2,0
1986-06-03,299.081,288.344,677.56,-17.233,306.926,93372.9,32.6679,55.2063,55.3989,-1.57782,4.43607,10835.9,228.114,16.0355,5821.21,264.358,8.422410000000001,3129.2,281.118,5.8617,1492.75,291.825,5.86371,758.336,296.844,5.41112,1,0
1993-10-13,290.88,281.021,242.124,-9.51378,295.34,93664.7,20.1716,55.8777,91.7498,3.67514,2.97908,10638.8,222.694,26.533,5739.62,260.03,13.5891,3098.18,275.029,7.65353,1499.48,285.686,4.86131,782.4069999999998,290.4290000000001,4.60356,0,0
1989-01-25,280.212,274.394,100.389,-6.7824100000000005,284.374,93787.3,13.9906,71.9079,113.371,5.18492,3.69987,10419.7,222.505,43.0606,5623.54,253.006,23.7479,3047.79,268.97900000000004,12.1773,1490.39,277.266,8.14061,797.762,280.396,7.17777,1,0
1995-10-11,296.147,282.641,99.7149,-42.7457,299.425,93742.6,18.3616,46.3494,77.0555,2.10951,4.1329,10815.1,227.359,19.1985,5844.44,263.1,11.7338,3163.32,280.84,8.09789,1528.1,292.726,7.96055,793.908,297.505,7.419939999999999,0,0
2012-12-15,282.349,275.264,71.2977,-17.5098,286.621,92935.3,14.9202,67.5991,103.171,5.18691,3.96083,10454.2,222.638,41.5635,5605.37,255.989,22.7207,2999.89,272.111,13.6469,1424.22,280.42400000000004,8.718910000000001,724.0930000000002,283.51,7.6654,0,0
2000-07-30,302.88,287.024,914.533,-22.4756,311.848,93661.0,30.9823,43.432,41.5143,-2.19475,3.41344,10877.7,228.163,12.098,5868.01,264.694,8.62235,3172.03,281.838,6.03001,1527.18,294.095,4.90956,786.3860000000002,299.706,4.7000199999999985,0,0
2000-05-28,300.331,284.559,597.9209999999998,-44.0506,308.51,93441.8,23.0355,44.3603,88.6383,1.19702,4.44555,10824.2,226.957,23.5285,5835.24,264.363,13.928,3137.77,282.388,8.69505,1496.5,292.618,6.14851,761.922,297.833,5.5265900000000014,1,0
1997-11-14,276.76,271.47700000000003,15.4689,-4.1438,281.606,93589.0,10.5163,71.8504,144.626,9.17248,4.21071,10381.3,230.004,38.7889,5529.56,251.011,25.66,2982.97,264.696,14.3818,1456.06,271.701,8.00633,776.3889999999999,275.798,6.7284,0,0
1984-01-17,268.161,264.134,2.00498,-1.05957,272.595,94133.1,9.82936,75.7532,188.721,10.6717,4.20868,10207.0,222.482,45.4631,5479.47,246.632,26.9987,2976.93,260.643,15.443,1475.65,265.42400000000004,8.615639999999999,815.329,267.766,7.28348,0,0
1995-09-25,293.585,281.8,156.496,-11.6906,299.107,93392.2,22.3195,51.3543,79.3852,3.1302,2.80171,10702.7,226.737,24.4784,5752.15,261.387,13.6474,3093.76,277.613,7.81423,1482.65,287.831,4.39513,759.92,292.888,3.64035,0,0
2011-08-04,307.039,288.19,890.302,-49.432,316.651,93469.4,33.6752,36.4904,37.5077,-1.91728,3.4398699999999995,10992.8,232.153,16.5808,5910.6,267.238,8.49665,3184.23,285.313,5.10076,1521.36,296.955,3.90435,772.803,302.714,3.98902,0,0
1985-08-22,301.592,288.324,877.7080000000002,-41.8574,309.236,93641.2,31.7824,50.6466,71.2764,-1.77973,4.04391,10902.4,229.362,19.9473,5876.27,265.251,10.2432,3170.51,283.164,6.0746699999999985,1522.04,293.923,5.10939,782.887,298.962,5.12984,5,1
1998-08-17,303.01,289.761,1133.38,-31.1085,310.53,93737.1,33.9364,49.0655,68.2789,-2.91691,4.26023,10953.0,231.97,14.9683,5899.67,265.773,7.41575,3189.72,283.779,5.74482,1536.46,294.943,4.71995,794.4010000000002,300.19,4.83435,0,0
1986-02-25,286.333,274.693,4.6241,-10.662,290.723,93551.7,11.7723,55.1611,160.541,5.5434800000000015,3.33592,10542.8,220.937,31.3775,5703.17,257.79,20.376,3076.95,274.755,13.9143,1480.27,285.434,8.98734,768.453,287.539,6.10996,0,0
2006-10-30,287.192,278.171,55.4655,-30.7152,291.698,93232.5,15.862,57.9388,126.396,3.96291,6.0476800000000015,10556.4,224.316,35.7049,5674.18,257.56,21.1586,3048.8,274.904,13.402,1457.64,282.788,12.427,749.666,287.235,10.9409,0,0
2006-01-23,280.117,272.85400000000004,22.1786,-1.29898,283.781,93775.4,10.8029,63.822,154.192,7.6049,4.51663,10446.7,221.505,37.5209,5636.34,254.126,23.2596,3049.31,270.252,14.0944,1487.79,278.065,10.4039,793.597,281.073,7.64146,0,0
1990-12-30,269.414,264.482,24.8928,-4.41069,272.888,94360.5,11.124,71.5731,91.0055,11.5084,4.08195,10433.4,223.712,43.7506,5617.59,253.654,25.9126,3041.91,267.725,16.1965,1505.99,271.942,9.77341,833.198,270.871,7.48986,1,0
1979-10-24,288.573,275.33,1.02685,-0.210447,291.877,93795.6,12.093,44.5384,87.1194,8.91736,2.86062,10656.2,224.263,31.0297,5746.95,260.043,17.0306,3099.46,276.387,8.87171,1501.04,284.61,5.18901,790.331,288.444,4.10277,0,0
1988-10-22,291.059,279.135,199.738,-25.3953,295.661,93069.7,18.6017,48.6677,148.418,2.51039,5.41851,10606.4,224.878,30.4961,5698.08,259.516,16.7837,3054.09,276.641,12.4257,1447.17,286.626,10.731,728.778,291.246,8.7505,0,0
